filename,width,height,class,xmin,ymin,xmax,ymax
Apple_0,416,416,Apple,234,154,413,285
Apple_0,416,416,Apple,191,286,322,382
Apple_0,416,416,Apple,0,290,146,416
Apple_1,416,416,Apple,278,178,356,300
Apple_1,416,416,Apple,87,50,164,182
Apple_1,416,416,Apple,161,37,241,173
Apple_10,416,416,Apple,131,46,196,121
Apple_10,416,416,Apple,307,216,364,273
Apple_10,416,416,Apple,219,190,283,270
Apple_10,416,416,Apple,256,134,331,212
Apple_100,416,416,Apple,107,23,239,260
Apple_100,416,416,Apple,235,91,372,336
Apple_101,416,416,Apple,15,65,173,295
Apple_101,416,416,Apple,153,31,312,261
Apple_102,416,416,Apple,18,209,129,405
Apple_102,416,416,Apple,127,193,234,392
Apple_102,416,416,Apple,224,147,342,357
Apple_103,416,416,Apple,83,165,284,380
Apple_103,416,416,Apple,6,55,176,253
Apple_104,416,416,Apple,209,79,399,336
Apple_104,416,416,Apple,22,109,206,368
Apple_105,416,416,Apple,25,64,130,229
Apple_105,416,416,Apple,131,75,257,249
Apple_106,416,416,Apple,22,114,237,389
Apple_11,416,416,Apple,200,11,385,245
Apple_12,416,416,Apple,83,49,191,116
Apple_12,416,416,Apple,121,202,228,264
Apple_13,416,416,Apple,124,50,221,189
Apple_13,416,416,Apple,179,239,293,393
Apple_13,416,416,Apple,211,97,310,242
Apple_14,416,416,Apple,41,55,207,212
Apple_14,416,416,Apple,17,216,211,386
Apple_15,416,416,Apple,86,12,226,303
Apple_16,416,416,Apple,6,38,187,250
Apple_16,416,416,Apple,172,141,357,387
Apple_17,416,416,Apple,60,177,252,409
Apple_17,416,416,Apple,202,14,377,219
Apple_18,416,416,Apple,6,218,165,394
Apple_18,416,416,Apple,146,224,278,393
Apple_18,416,416,Apple,44,15,230,223
Apple_19,416,416,Apple,55,127,238,387
Apple_2,416,416,Apple,244,104,345,307
Apple_2,416,416,Apple,162,54,259,228
Apple_20,416,416,Apple,169,134,347,352
Apple_20,416,416,Apple,58,217,239,400
Apple_21,416,416,Apple,57,84,171,315
Apple_21,416,416,Apple,230,128,370,392
Apple_22,416,416,Apple,138,164,197,214
Apple_22,416,416,Apple,179,173,252,237
Apple_22,416,416,Apple,117,211,181,264
Apple_22,416,416,Apple,240,222,310,274
Apple_22,416,416,Apple,173,229,244,280
Apple_23,416,416,Apple,25,13,388,397
Apple_24,416,416,Apple,92,250,295,346
Apple_24,416,416,Apple,181,145,346,285
Apple_24,416,416,Apple,0,175,128,315
Apple_24,416,416,Apple,71,139,195,253
Apple_25,416,416,Apple,66,208,195,331
Apple_25,416,416,Apple,120,102,250,216
Apple_25,416,416,Apple,200,207,331,336
Apple_26,416,416,Apple,140,14,217,88
Apple_26,416,416,Apple,151,107,239,197
Apple_26,416,416,Apple,133,189,240,283
Apple_26,416,416,Apple,84,335,185,415
Apple_26,416,416,Apple,254,41,328,125
Apple_27,416,416,Apple,66,142,250,314
Apple_27,416,416,Apple,238,128,396,286
Apple_28,416,416,Apple,41,154,175,264
Apple_28,416,416,Apple,165,122,283,255
Apple_28,416,416,Apple,15,214,156,322
Apple_29,416,416,Apple,120,157,245,290
Apple_29,416,416,Apple,334,119,415,197
Apple_29,416,416,Apple,246,120,328,196
Apple_29,416,416,Apple,281,81,377,153
Apple_3,416,416,Apple,35,17,360,377
Apple_30,416,416,Apple,54,183,199,329
Apple_30,416,416,Apple,143,224,317,369
Apple_31,416,416,Apple,27,44,390,378
Apple_32,416,416,Apple,241,207,334,294
Apple_32,416,416,Apple,191,78,267,156
Apple_32,416,416,Apple,126,232,225,315
Apple_32,416,416,Apple,307,115,395,184
Apple_32,416,416,Apple,215,163,299,223
Apple_33,416,416,Apple,135,201,248,321
Apple_33,416,416,Apple,144,76,265,198
Apple_33,416,416,Apple,221,301,339,410
Apple_33,416,416,Apple,248,130,346,251
Apple_34,416,416,Apple,351,178,403,228
Apple_34,416,416,Apple,28,108,68,150
Apple_34,416,416,Apple,0,218,41,259
Apple_34,416,416,Apple,249,222,295,272
Apple_34,416,416,Apple,342,259,394,301
Apple_34,416,416,Apple,93,192,144,232
Apple_35,416,416,Apple,51,167,198,311
Apple_36,416,416,Apple,95,92,335,324
Apple_37,416,416,Apple,137,168,277,305
Apple_37,416,416,Apple,274,143,414,276
Apple_37,416,416,Apple,158,90,298,202
Apple_38,416,416,Apple,235,180,392,298
Apple_38,416,416,Apple,8,48,146,165
Apple_38,416,416,Apple,157,111,273,228
Apple_38,416,416,Apple,30,162,163,282
Apple_38,416,416,Apple,128,19,273,117
Apple_39,416,416,Apple,45,47,365,368
Apple_4,416,416,Apple,214,89,393,384
Apple_4,416,416,Apple,52,28,232,299
Apple_40,416,416,Apple,314,200,415,308
Apple_40,416,416,Apple,196,100,311,197
Apple_40,416,416,Apple,90,212,201,320
Apple_40,416,416,Apple,86,94,198,215
Apple_41,416,416,Apple,165,176,237,233
Apple_41,416,416,Apple,263,177,347,229
Apple_41,416,416,Apple,20,164,93,231
Apple_41,416,416,Apple,309,128,380,195
Apple_41,416,416,Apple,208,141,268,205
Apple_41,416,416,Apple,93,164,176,231
Apple_42,416,416,Apple,70,161,367,405
Apple_42,416,416,Apple,234,25,416,235
Apple_42,416,416,Apple,0,57,224,241
Apple_43,416,416,Apple,91,250,171,324
Apple_43,416,416,Apple,61,191,141,252
Apple_43,416,416,Apple,169,76,241,160
Apple_43,416,416,Apple,315,191,376,257
Apple_43,416,416,Apple,26,251,107,327
Apple_44,416,416,Apple,240,120,399,297
Apple_45,416,416,Apple,73,92,323,357
Apple_46,416,416,Apple,20,33,213,201
Apple_46,416,416,Apple,112,197,285,375
Apple_47,416,416,Apple,336,195,411,267
Apple_47,416,416,Apple,260,185,337,265
Apple_47,416,416,Apple,206,155,283,228
Apple_48,416,416,Apple,307,166,408,280
Apple_48,416,416,Apple,162,180,272,309
Apple_48,416,416,Apple,44,147,149,275
Apple_48,416,416,Apple,123,74,241,186
