filename,width,height,class,xmin,ymin,xmax,ymax
Banana_0,416,416,Banana,140,45,206,369
Banana_1,416,416,Banana,78,29,124,147
Banana_1,416,416,Banana,97,50,177,374
Banana_10,416,416,Banana,284,20,416,106
Banana_10,416,416,Banana,51,140,351,232
Banana_11,416,416,Banana,182,4,285,402
Banana_12,416,416,Banana,12,33,334,401
Banana_13,416,416,Banana,57,134,328,215
Banana_14,416,416,Banana,19,90,401,200
Banana_15,416,416,Banana,77,51,329,416
Banana_16,416,416,Banana,217,19,327,401
Banana_17,416,416,Banana,117,41,207,383
Banana_18,416,416,Banana,97,42,321,406
Banana_19,416,416,Banana,28,30,328,413
Banana_2,416,416,Banana,16,136,381,244
Banana_2,416,416,Banana,290,36,416,113
Banana_20,416,416,Banana,71,76,337,402
Banana_21,416,416,Banana,61,159,351,247
Banana_22,416,416,Banana,34,59,314,341
Banana_23,416,416,Banana,92,13,242,409
Banana_24,416,416,Banana,125,18,335,357
Banana_25,416,416,Banana,82,59,292,398
Banana_26,416,416,Banana,28,190,381,316
Banana_27,416,416,Banana,80,31,354,325
Banana_28,416,416,Banana,86,105,336,416
Banana_29,416,416,Banana,20,26,330,374
Banana_3,416,416,Banana,8,90,415,188
Banana_30,416,416,Banana,49,107,283,307
Banana_31,416,416,Banana,41,82,381,306
Banana_32,416,416,Banana,33,123,303,336
Banana_33,416,416,Banana,20,22,402,278
Banana_34,416,416,Banana,46,31,265,381
Banana_35,416,416,Banana,128,58,354,356
Banana_36,416,416,Banana,97,40,305,368
Banana_37,416,416,Banana,55,101,354,311
Banana_38,416,416,Banana,105,55,315,354
Banana_39,416,416,Banana,160,9,381,403
Banana_4,416,416,Banana,90,2,188,409
Banana_40,416,416,Banana,61,118,348,310
Banana_41,416,416,Banana,57,87,380,282
Banana_42,416,416,Banana,26,13,247,397
Banana_43,416,416,Banana,34,93,366,289
Banana_44,416,416,Banana,98,20,318,346
Banana_45,416,416,Banana,46,90,384,285
Banana_46,416,416,Banana,50,17,330,353
Banana_47,416,416,Banana,123,33,297,345
Banana_48,416,416,Banana,2,21,415,191
Banana_49,416,416,Banana,98,22,362,377
Banana_5,416,416,Banana,142,24,236,373
Banana_50,416,416,Banana,13,61,409,243
Banana_51,416,416,Banana,149,42,350,379
Banana_52,416,416,Banana,21,104,416,392
Banana_53,416,416,Banana,24,21,312,416
Banana_54,416,416,Banana,53,50,333,401
Banana_55,416,416,Banana,81,16,263,410
Banana_56,416,416,Banana,24,114,364,294
Banana_57,416,416,Banana,60,145,355,305
Banana_58,416,416,Banana,147,19,280,371
Banana_59,416,416,Banana,119,23,351,273
Banana_6,416,416,Banana,246,83,314,373
Banana_60,416,416,Banana,2,99,416,232
Banana_61,416,416,Banana,144,40,336,408
Banana_62,416,416,Banana,150,5,290,404
Banana_63,416,416,Banana,29,73,371,273
Banana_64,416,416,Banana,82,117,386,321
Banana_65,416,416,Banana,141,73,397,359
Banana_66,416,416,Banana,57,143,291,414
Banana_67,416,416,Banana,59,83,405,346
Banana_68,416,416,Banana,68,20,318,378
Banana_69,416,416,Banana,83,12,346,358
Banana_7,416,416,Banana,46,130,368,229
Banana_70,416,416,Banana,48,65,373,366
Banana_71,416,416,Banana,35,90,337,302
Banana_72,416,416,Banana,65,44,366,369
Banana_73,416,416,Banana,10,88,416,294
Banana_74,416,416,Banana,56,63,364,383
Banana_75,416,416,Banana,19,50,367,326
Banana_76,416,416,Banana,63,71,382,359
Banana_77,416,416,Banana,158,0,315,416
Banana_78,416,416,Banana,57,63,345,382
Banana_79,416,416,Banana,34,57,353,345
Banana_8,416,416,Banana,167,53,228,328
Banana_80,416,416,Banana,81,59,382,362
Banana_81,416,416,Banana,51,54,373,366
Banana_82,416,416,Banana,152,24,366,368
Banana_83,416,416,Banana,51,51,363,373
Banana_84,416,416,Banana,68,59,318,333
Banana_85,416,416,Banana,37,130,385,306
Banana_86,416,416,Banana,24,57,378,311
Banana_87,416,416,Banana,123,67,371,343
Banana_88,416,416,Banana,59,37,355,384
Banana_89,416,416,Banana,203,9,386,268
Banana_9,416,416,Banana,296,3,416,94
Banana_9,416,416,Banana,5,135,383,263
Banana_90,416,416,Banana,47,183,384,363
Banana_91,416,416,Banana,32,53,369,233
Banana_92,416,416,Banana,133,141,301,395
Banana_93,416,416,Banana,122,73,292,351
Banana_94,416,416,Banana,176,2,411,392
Banana_95,416,416,Banana,2,5,392,240
Banana_96,416,416,Banana,98,111,335,367
Banana_97,416,416,Banana,60,96,310,353
Banana_98,416,416,Banana,76,48,324,309
Banana_99,416,416,Banana,174,42,264,383
