filename,width,height,class,xmin,ymin,xmax,ymax
Chicken_0,640,640,Chicken,111,199,447,492
Chicken_0,640,640,Chicken,245,139,533,318
Chicken_1,640,640,Chicken,10,158,315,461
Chicken_1,640,640,Chicken,321,156,632,467
Chicken_10,640,640,Chicken,68,41,610,606
Chicken_11,640,640,Chicken,126,85,526,509
Chicken_12,640,640,Chicken,130,46,543,533
Chicken_13,640,640,Chicken,100,318,601,515
Chicken_14,640,640,Chicken,178,324,424,511
Chicken_15,640,640,Chicken,135,139,480,461
Chicken_16,640,640,Chicken,172,0,313,180
Chicken_16,640,640,Chicken,372,256,481,400
Chicken_16,640,640,Chicken,165,296,316,526
Chicken_16,640,640,Chicken,315,2,441,194
Chicken_16,640,640,Chicken,292,268,403,452
Chicken_17,640,640,Chicken,127,49,244,303
Chicken_17,640,640,Chicken,245,51,360,301
Chicken_17,640,640,Chicken,363,45,478,301
Chicken_17,640,640,Chicken,13,33,129,308
Chicken_17,640,640,Chicken,480,37,592,299
Chicken_17,640,640,Chicken,595,38,640,298
Chicken_18,640,640,Chicken,91,169,557,485
Chicken_19,640,640,Chicken,16,68,619,559
Chicken_2,640,640,Chicken,72,39,569,603
Chicken_20,640,640,Chicken,72,90,592,593
Chicken_21,640,640,Chicken,1,5,524,570
Chicken_22,640,640,Chicken,47,401,114,510
Chicken_22,640,640,Chicken,217,467,273,579
Chicken_22,640,640,Chicken,335,469,397,579
Chicken_22,640,640,Chicken,146,479,213,580
Chicken_22,640,640,Chicken,276,441,330,480
Chicken_22,640,640,Chicken,274,479,334,578
Chicken_23,640,640,Chicken,75,160,556,484
Chicken_24,640,640,Chicken,259,235,362,395
Chicken_24,640,640,Chicken,334,225,429,371
Chicken_24,640,640,Chicken,150,247,265,441
Chicken_24,640,640,Chicken,29,278,160,472
Chicken_24,640,640,Chicken,406,210,486,345
Chicken_25,640,640,Chicken,342,216,572,615
Chicken_25,640,640,Chicken,153,312,354,608
Chicken_26,640,640,Chicken,101,134,522,480
Chicken_27,640,640,Chicken,135,137,526,534
Chicken_28,640,640,Chicken,101,138,578,440
Chicken_29,640,640,Chicken,25,64,614,502
Chicken_3,640,640,Chicken,54,10,558,573
Chicken_30,640,640,Chicken,12,66,633,448
Chicken_31,640,640,Chicken,157,60,486,583
Chicken_32,640,640,Chicken,142,108,546,500
Chicken_33,640,640,Chicken,122,49,488,614
Chicken_34,640,640,Chicken,173,33,533,598
Chicken_35,640,640,Chicken,107,57,540,597
Chicken_36,640,640,Chicken,39,0,634,618
Chicken_37,640,640,Chicken,141,83,526,515
Chicken_38,640,640,Chicken,146,93,527,511
Chicken_39,640,640,Chicken,124,56,486,616
Chicken_4,640,640,Chicken,98,32,541,597
Chicken_40,640,640,Chicken,64,92,579,489
Chicken_41,640,640,Chicken,96,161,581,496
Chicken_42,640,640,Chicken,59,182,580,481
Chicken_43,640,640,Chicken,70,90,559,527
Chicken_44,640,640,Chicken,49,181,579,461
Chicken_45,640,640,Chicken,63,158,601,510
Chicken_46,640,640,Chicken,79,139,556,517
Chicken_47,640,640,Chicken,114,95,544,478
Chicken_48,640,640,Chicken,120,94,476,566
Chicken_49,640,640,Chicken,44,177,588,509
Chicken_5,640,640,Chicken,47,107,347,567
Chicken_5,640,640,Chicken,356,82,553,562
Chicken_50,640,640,Chicken,83,167,553,540
Chicken_51,640,640,Chicken,49,192,593,487
Chicken_52,640,640,Chicken,65,142,575,506
Chicken_53,640,640,Chicken,96,125,584,521
Chicken_54,640,640,Chicken,93,119,548,528
Chicken_55,640,640,Chicken,68,56,587,553
Chicken_56,640,640,Chicken,130,91,529,417
Chicken_57,640,640,Chicken,59,36,553,580
Chicken_58,640,640,Chicken,91,119,587,477
Chicken_59,640,640,Chicken,81,74,574,544
Chicken_6,640,640,Chicken,97,70,543,605
Chicken_60,640,640,Chicken,53,77,526,580
Chicken_61,640,640,Chicken,76,149,560,421
Chicken_62,640,640,Chicken,140,97,534,528
Chicken_63,640,640,Chicken,76,137,574,415
Chicken_64,640,640,Chicken,45,136,569,507
Chicken_65,640,640,Chicken,92,47,508,585
Chicken_66,640,640,Chicken,110,59,528,581
Chicken_67,640,640,Chicken,130,44,553,559
Chicken_68,640,640,Chicken,90,29,552,612
Chicken_69,640,640,Chicken,100,38,530,596
Chicken_7,640,640,Chicken,60,33,575,573
Chicken_70,640,640,Chicken,117,45,549,612
Chicken_71,640,640,Chicken,121,39,548,618
Chicken_72,640,640,Chicken,95,49,511,589
Chicken_73,640,640,Chicken,71,190,616,496
Chicken_74,640,640,Chicken,109,332,278,567
Chicken_74,640,640,Chicken,272,374,397,583
Chicken_74,640,640,Chicken,409,365,543,576
Chicken_75,640,640,Chicken,145,354,404,583
Chicken_76,640,640,Chicken,135,154,493,481
Chicken_77,640,640,Chicken,160,111,435,514
Chicken_78,640,640,Chicken,36,11,625,605
Chicken_79,640,640,Chicken,328,189,615,513
Chicken_79,640,640,Chicken,82,116,377,498
Chicken_8,640,640,Chicken,68,26,553,610
Chicken_80,640,640,Chicken,8,6,611,628
Chicken_9,640,640,Chicken,12,282,360,635
Chicken_9,640,640,Chicken,291,23,634,414
Chicken_9,640,640,Chicken,6,22,372,269
Chicken_9,640,640,Chicken,199,429,635,629
