filename,width,height,class,xmin,ymin,xmax,ymax
Egg_0,640,640,Egg,132,142,572,438
Egg_1,640,640,Egg,174,117,526,467
Egg_10,640,640,Egg,102,218,508,526
Egg_11,640,640,Egg,105,99,363,408
Egg_12,640,640,Egg,105,232,363,541
Egg_13,640,640,Egg,193,100,520,428
Egg_14,640,640,Egg,131,201,436,551
Egg_15,640,640,Egg,117,191,526,600
Egg_16,640,640,Egg,125,180,512,611
Egg_17,640,640,Egg,135,33,501,477
Egg_18,640,640,Egg,115,52,521,457
Egg_19,640,640,Egg,130,177,488,620
Egg_2,640,640,Egg,154,137,547,447
Egg_20,640,640,Egg,153,177,511,620
Egg_21,640,640,Egg,121,181,446,620
Egg_22,640,640,Egg,96,48,485,565
Egg_23,640,640,Egg,156,48,544,565
Egg_24,640,640,Egg,245,47,495,379
Egg_25,640,640,Egg,245,261,495,593
Egg_26,640,640,Egg,224,282,516,572
Egg_27,640,640,Egg,118,109,554,546
Egg_28,640,640,Egg,80,132,592,494
Egg_29,640,640,Egg,55,59,480,558
Egg_3,640,640,Egg,107,173,475,541
Egg_30,640,640,Egg,55,58,480,558
Egg_31,640,640,Egg,24,148,454,579
Egg_32,640,640,Egg,43,95,584,500
Egg_33,640,640,Egg,80,131,596,493
Egg_34,640,640,Egg,119,108,557,548
Egg_35,640,640,Egg,80,147,596,509
Egg_36,640,640,Egg,73,86,556,457
Egg_37,640,640,Egg,86,80,586,440
Egg_38,640,640,Egg,94,155,520,582
Egg_39,640,640,Egg,61,164,469,573
Egg_4,640,640,Egg,101,114,525,431
Egg_40,640,640,Egg,31,97,499,446
Egg_41,640,640,Egg,177,156,567,548
Egg_42,640,640,Egg,36,193,500,511
Egg_43,640,640,Egg,126,184,539,597
Egg_44,640,640,Egg,197,91,604,423
Egg_45,640,640,Egg,36,91,444,423
Egg_46,640,640,Egg,215,198,585,568
Egg_47,640,640,Egg,218,113,595,380
Egg_48,640,640,Egg,246,85,567,408
Egg_49,640,640,Egg,182,148,566,426
Egg_5,640,640,Egg,143,183,513,553
Egg_50,640,640,Egg,104,224,484,537
Egg_51,640,640,Egg,97,178,525,549
Egg_52,640,640,Egg,250,109,573,379
Egg_53,640,640,Egg,102,272,434,537
Egg_54,640,640,Egg,202,82,498,347
Egg_55,640,640,Egg,87,106,346,366
Egg_56,640,640,Egg,68,169,503,536
Egg_57,640,640,Egg,137,169,572,536
Egg_58,640,640,Egg,68,113,481,473
Egg_59,640,640,Egg,68,167,481,527
Egg_6,640,640,Egg,149,183,527,562
Egg_60,640,640,Egg,35,46,474,440
Egg_61,640,640,Egg,8,155,504,565
Egg_62,640,640,Egg,44,72,597,624
Egg_63,640,640,Egg,15,101,626,595
Egg_64,640,640,Egg,35,106,623,592
Egg_65,640,640,Egg,35,106,623,592
Egg_66,640,640,Egg,67,134,439,543
Egg_67,640,640,Egg,67,132,444,543
Egg_68,640,640,Egg,64,129,441,550
Egg_69,640,640,Egg,199,90,576,512
Egg_7,640,640,Egg,149,78,527,457
Egg_70,640,640,Egg,152,145,523,570
Egg_71,640,640,Egg,193,30,453,234
Egg_71,640,640,Egg,206,242,455,420
Egg_71,640,640,Egg,206,431,476,612
Egg_72,640,640,Egg,201,392,433,624
Egg_72,640,640,Egg,185,220,434,398
Egg_72,640,640,Egg,165,28,435,209
Egg_73,640,640,Egg,8,134,226,366
Egg_73,640,640,Egg,226,144,438,355
Egg_73,640,640,Egg,423,146,623,347
Egg_74,640,640,Egg,435,287,626,518
Egg_74,640,640,Egg,20,274,234,538
Egg_74,640,640,Egg,241,288,429,532
Egg_75,640,640,Egg,14,287,205,518
Egg_75,640,640,Egg,406,274,620,538
Egg_75,640,640,Egg,212,288,400,532
Egg_76,640,640,Egg,241,288,429,532
Egg_76,640,640,Egg,20,274,234,538
Egg_76,640,640,Egg,435,287,626,518
Egg_77,640,640,Egg,391,210,587,460
Egg_77,640,640,Egg,27,266,226,464
Egg_77,640,640,Egg,214,238,383,479
Egg_78,640,640,Egg,388,153,577,368
Egg_78,640,640,Egg,210,128,391,382
Egg_78,640,640,Egg,8,113,201,350
Egg_79,640,640,Egg,154,260,320,457
Egg_79,640,640,Egg,329,251,475,462
Egg_79,640,640,Egg,482,253,631,439
Egg_8,640,640,Egg,60,125,514,429
Egg_80,640,640,Egg,197,314,365,531
Egg_80,640,640,Egg,366,319,512,534
Egg_80,640,640,Egg,516,324,640,511
Egg_81,640,640,Egg,241,238,431,488
Egg_81,640,640,Egg,443,236,629,486
Egg_81,640,640,Egg,13,223,237,494
Egg_82,640,640,Egg,234,146,398,370
Egg_82,640,640,Egg,39,158,235,386
Egg_82,640,640,Egg,398,150,566,364
Egg_83,640,640,Egg,235,270,398,494
Egg_83,640,640,Egg,398,277,566,491
Egg_83,640,640,Egg,39,254,235,483
Egg_84,640,640,Egg,61,203,275,418
Egg_84,640,640,Egg,438,237,594,445
Egg_84,640,640,Egg,267,224,434,442
Egg_85,640,640,Egg,206,198,373,416
Egg_85,640,640,Egg,365,222,579,437
Egg_85,640,640,Egg,46,195,202,403
Egg_86,640,640,Egg,257,271,403,418
Egg_86,640,640,Egg,132,258,268,432
Egg_86,640,640,Egg,383,270,527,414
Egg_87,640,640,Egg,396,258,514,427
Egg_87,640,640,Egg,132,258,268,432
Egg_87,640,640,Egg,270,258,390,431
Egg_88,640,640,Egg,122,268,277,423
Egg_88,640,640,Egg,257,271,403,418
Egg_88,640,640,Egg,383,270,527,414
Egg_89,640,640,Egg,249,242,431,423
Egg_89,640,640,Egg,69,228,261,430
Egg_89,640,640,Egg,426,235,592,413
Egg_9,640,640,Egg,137,215,556,521
Egg_90,640,640,Egg,376,230,574,428
Egg_90,640,640,Egg,209,242,391,423
Egg_90,640,640,Egg,49,235,215,413
Egg_91,640,640,Egg,317,281,450,469
Egg_91,640,640,Egg,161,281,310,459
Egg_91,640,640,Egg,457,275,603,462
Egg_92,640,640,Egg,269,259,441,431
Egg_92,640,640,Egg,97,239,292,434
Egg_92,640,640,Egg,414,265,568,419
Egg_93,640,640,Egg,260,204,436,381
Egg_93,640,640,Egg,416,220,588,392
Egg_93,640,640,Egg,83,186,280,383
Egg_94,640,640,Egg,83,186,280,383
Egg_94,640,640,Egg,430,206,574,406
Egg_94,640,640,Egg,273,191,423,394
Egg_95,640,640,Egg,430,235,575,434
Egg_95,640,640,Egg,88,252,275,460
Egg_95,640,640,Egg,273,246,423,449
Egg_96,640,640,Egg,362,231,532,401
Egg_96,640,640,Egg,228,240,385,398
Egg_96,640,640,Egg,111,218,233,394
Egg_97,640,640,Egg,434,204,609,451
Egg_97,640,640,Egg,236,205,422,474
Egg_97,640,640,Egg,17,221,232,463
Egg_98,640,640,Egg,199,291,422,513
Egg_98,640,640,Egg,406,278,627,498
Egg_98,640,640,Egg,28,276,212,521
Egg_99,640,640,Egg,406,142,627,362
Egg_99,640,640,Egg,28,119,212,364
Egg_99,640,640,Egg,219,107,402,369
