filename,width,height,class,xmin,ymin,xmax,ymax
Fish_0,640,640,Fish,35,167,502,542
Fish_1,640,640,Fish,159,55,445,640
Fish_10,640,640,Fish,123,134,513,465
Fish_11,640,640,Fish,245,78,435,485
Fish_12,640,640,Fish,77,120,535,496
Fish_13,640,640,Fish,36,137,516,538
Fish_14,640,640,Fish,36,112,516,492
Fish_15,640,640,Fish,106,118,534,516
Fish_16,640,640,Fish,47,72,549,428
Fish_17,640,640,Fish,78,106,591,440
Fish_18,640,640,Fish,70,99,588,381
Fish_19,640,640,Fish,74,109,629,439
Fish_2,640,640,Fish,232,0,395,640
Fish_20,640,640,Fish,77,64,640,357
Fish_21,640,640,Fish,173,42,522,487
Fish_22,640,640,Fish,93,32,621,351
Fish_23,640,640,Fish,91,173,583,376
Fish_24,640,640,Fish,126,164,640,479
Fish_25,640,640,Fish,92,209,628,526
Fish_26,640,640,Fish,108,166,598,483
Fish_27,640,640,Fish,77,202,608,555
Fish_28,640,640,Fish,255,57,429,499
Fish_29,640,640,Fish,185,41,302,468
Fish_3,640,640,Fish,270,26,413,640
Fish_30,640,640,Fish,0,141,508,524
Fish_31,640,640,Fish,214,80,362,629
Fish_32,640,640,Fish,102,82,493,594
Fish_33,640,640,Fish,260,99,637,640
Fish_34,640,640,Fish,67,95,467,640
Fish_35,640,640,Fish,61,119,454,640
Fish_36,640,640,Fish,54,141,423,640
Fish_37,640,640,Fish,90,105,438,640
Fish_38,640,640,Fish,138,130,547,640
Fish_39,640,640,Fish,96,75,519,640
Fish_4,640,640,Fish,264,18,404,640
Fish_40,640,640,Fish,61,128,415,640
Fish_41,640,640,Fish,59,172,457,640
Fish_42,640,640,Fish,2,77,473,529
Fish_43,640,640,Fish,0,164,406,449
Fish_44,640,640,Fish,147,111,457,640
Fish_45,640,640,Fish,65,63,640,639
Fish_46,640,640,Fish,10,8,561,639
Fish_47,640,640,Fish,134,109,538,640
Fish_48,640,640,Fish,291,116,612,539
Fish_49,640,640,Fish,178,114,640,636
Fish_5,640,640,Fish,227,1,369,640
Fish_50,640,640,Fish,0,56,539,640
Fish_51,640,640,Fish,6,60,455,577
Fish_52,640,640,Fish,103,87,593,640
Fish_53,640,640,Fish,95,51,558,628
Fish_54,640,640,Fish,0,85,473,640
Fish_55,640,640,Fish,68,98,574,640
Fish_56,640,640,Fish,77,131,591,640
Fish_57,640,640,Fish,0,78,492,640
Fish_58,640,640,Fish,0,23,419,640
Fish_59,640,640,Fish,0,72,436,640
Fish_6,640,640,Fish,251,81,420,640
Fish_60,640,640,Fish,80,18,586,561
Fish_61,640,640,Fish,0,28,525,583
Fish_62,640,640,Fish,117,82,616,640
Fish_63,640,640,Fish,0,33,530,640
Fish_64,640,640,Fish,17,72,517,640
Fish_65,640,640,Fish,115,103,556,640
Fish_66,640,640,Fish,138,54,618,640
Fish_67,640,640,Fish,0,81,543,640
Fish_68,640,640,Fish,0,135,606,640
Fish_69,640,640,Fish,0,161,557,640
Fish_7,640,640,Fish,235,98,435,640
Fish_70,640,640,Fish,82,75,583,637
Fish_71,640,640,Fish,83,82,548,602
Fish_72,640,640,Fish,66,79,558,635
Fish_73,640,640,Fish,57,82,522,634
Fish_74,640,640,Fish,5,21,508,578
Fish_75,640,640,Fish,118,73,591,634
Fish_76,640,640,Fish,115,79,619,640
Fish_77,640,640,Fish,74,130,585,513
Fish_78,640,640,Fish,76,108,592,499
Fish_79,640,640,Fish,77,109,622,596
Fish_8,640,640,Fish,241,38,441,640
Fish_80,640,640,Fish,56,133,579,624
Fish_81,640,640,Fish,57,15,640,557
Fish_82,640,640,Fish,171,22,490,576
Fish_83,640,640,Fish,174,45,484,597
Fish_84,640,640,Fish,292,82,492,639
Fish_85,640,640,Fish,297,63,495,617
Fish_86,640,640,Fish,255,144,454,640
Fish_87,640,640,Fish,145,245,386,640
Fish_88,640,640,Fish,155,97,424,640
Fish_89,640,640,Fish,43,74,311,624
Fish_9,640,640,Fish,113,113,498,612
Fish_90,640,640,Fish,73,53,339,628
Fish_91,640,640,Fish,263,90,494,593
Fish_92,640,640,Fish,141,99,367,583
Fish_93,640,640,Fish,359,68,623,637
Fish_94,640,640,Fish,245,163,457,640
Fish_95,640,640,Fish,112,25,364,570
Fish_96,640,640,Fish,202,45,428,557
Fish_97,640,640,Fish,234,40,447,571
Fish_98,640,640,Fish,179,36,414,585
Fish_99,640,640,Fish,200,95,409,590
