                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5212,                 2.9185,                 1.7823,                0.00726,                0.93421,                0.24027,                0.14498,                0.89017,                 2.8443,                 1.4164,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.2553,                 2.2825,                 1.5797,                0.00997,                0.97368,                0.36076,                0.16364,                 1.3591,                 2.6593,                 1.7078,             0.00031046,             0.00031046,             0.00031046
                      3,                 1.3097,                 1.8198,                 1.6278,                0.97715,                0.13743,                0.47752,                0.25312,                 1.3822,                 2.3843,                 1.7202,             0.00046429,             0.00046429,             0.00046429
                      4,                 1.2796,                 1.7834,                 1.6084,                0.52452,                0.41573,                0.43027,                0.20944,                 1.6652,                 2.3399,                 2.0418,             0.00061151,             0.00061151,             0.00061151
                      5,                 1.3181,                 1.7293,                  1.652,                0.39182,                 0.4881,                0.39417,                0.19521,                 1.7909,                 2.0438,                  2.243,             0.00075214,             0.00075214,             0.00075214
                      6,                 1.2896,                 1.6409,                 1.5979,                0.55767,                0.42066,                0.44815,                0.18393,                 1.6197,                 1.9649,                 2.1524,             0.00088616,             0.00088616,             0.00088616
                      7,                 1.3305,                 1.6071,                 1.6532,                0.56171,                 0.4955,                0.55002,                0.27195,                  1.606,                 1.8547,                 1.9329,              0.0010136,              0.0010136,              0.0010136
                      8,                 1.3761,                 1.6926,                 1.6603,                0.40908,                0.45714,                0.40317,                0.19988,                  1.536,                 2.0255,                 1.9089,              0.0011344,              0.0011344,              0.0011344
                      9,                 1.3846,                 1.6999,                 1.6838,                0.71329,                0.37469,                0.48767,                 0.2493,                 1.5049,                  2.057,                 1.8935,              0.0012486,              0.0012486,              0.0012486
                     10,                 1.2963,                 1.6197,                 1.5738,                   0.56,                0.52168,                0.50359,                0.26126,                 1.5701,                 2.6293,                 2.0175,              0.0013562,              0.0013562,              0.0013562
                     11,                 1.3335,                 1.5558,                 1.6451,                0.41923,                0.50282,                0.40767,                0.17553,                 1.6419,                 2.6899,                 2.0497,              0.0013369,              0.0013369,              0.0013369
